timestamp,source,label,count,bboxes
2025-09-10T22:33:55.813616,0,No person detected,0,[]
2025-09-10T22:33:56.151517,0,Single person detected,1,"[(143, 28, 398, 452)]"
2025-09-10T22:33:56.853035,0,No person detected,0,[]
2025-09-10T22:33:57.608008,0,Single person detected,1,"[(396, 129, 86, 172)]"
2025-09-10T22:34:00.348177,0,No person detected,0,[]
2025-09-10T22:34:00.499944,0,Single person detected,1,"[(171, 49, 368, 431)]"
2025-09-10T22:34:01.199880,0,No person detected,0,[]
2025-09-10T22:34:01.492821,0,Single person detected,1,"[(415, 148, 69, 137)]"
2025-09-10T22:34:02.560600,0,No person detected,0,[]
2025-09-10T22:34:02.728461,0,Single person detected,1,"[(416, 151, 68, 134)]"
2025-09-10T22:34:02.890903,0,No person detected,0,[]
2025-09-10T22:34:03.041206,0,Single person detected,1,"[(420, 151, 67, 134)]"
2025-09-10T22:34:03.201867,0,No person detected,0,[]
2025-09-10T22:34:03.952381,0,Single person detected,1,"[(165, 0, 398, 480)]"
2025-09-10T22:34:10.305503,0,No person detected,0,[]
2025-09-10T22:34:12.567235,0,Single person detected,1,"[(532, 118, 86, 172)]"
2025-09-10T22:34:12.688677,0,No person detected,0,[]
2025-09-10T22:34:17.417307,0,Single person detected,1,"[(162, 5, 408, 475)]"
2025-09-10T22:34:17.680791,0,No person detected,0,[]
2025-09-10T22:34:19.606337,0,Single person detected,1,"[(167, 22, 408, 458)]"
2025-09-10T22:34:21.776410,0,No person detected,0,[]
2025-09-10T22:34:21.917389,0,Single person detected,1,"[(184, 40, 384, 440)]"
2025-09-10T22:34:22.196734,0,No person detected,0,[]
2025-09-10T22:34:22.335500,0,Single person detected,1,"[(183, 43, 382, 437)]"
2025-09-10T22:34:25.572733,0,Single person detected,1,"[(126, 27, 426, 453)]"
2025-09-10T22:34:26.580214,0,No person detected,0,[]
2025-09-10T22:34:26.738137,0,Single person detected,1,"[(123, 301, 150, 179)]"
2025-09-10T22:34:27.025750,0,No person detected,0,[]
2025-09-10T22:34:27.169351,0,Single person detected,1,"[(123, 301, 154, 179)]"
2025-09-10T22:34:27.314751,0,No person detected,0,[]
2025-09-10T22:34:28.479026,0,Single person detected,1,"[(247, 178, 74, 148)]"
2025-09-10T22:34:28.791423,0,No person detected,0,[]
2025-09-10T22:34:28.944247,0,Single person detected,1,"[(248, 175, 80, 159)]"
2025-09-10T22:34:29.487252,0,No person detected,0,[]
2025-09-10T22:34:29.634771,0,Single person detected,1,"[(248, 179, 77, 154)]"
2025-09-10T22:34:29.900090,0,No person detected,0,[]
2025-09-10T22:34:30.140174,0,Single person detected,1,"[(250, 181, 76, 151)]"
2025-09-10T22:34:30.415841,0,No person detected,0,[]
2025-09-10T22:34:30.549494,0,Single person detected,1,"[(245, 174, 82, 164)]"
2025-09-10T22:34:30.702727,0,No person detected,0,[]
2025-09-10T22:34:30.848842,0,Single person detected,1,"[(248, 177, 77, 154)]"
2025-09-10T22:34:31.140692,0,No person detected,0,[]
2025-09-10T22:34:31.623907,0,Single person detected,1,"[(248, 178, 74, 146)]"
2025-09-10T22:34:31.887925,0,No person detected,0,[]
2025-09-10T22:34:32.150956,0,Single person detected,1,"[(249, 180, 76, 151)]"
2025-09-10T22:34:32.283556,0,No person detected,0,[]
2025-09-10T22:34:32.540283,0,Single person detected,1,"[(252, 180, 77, 154)]"
2025-09-10T22:34:32.788208,0,No person detected,0,[]
