timestamp,source,label,count,bboxes
2025-09-09T22:56:09.753656,0,Single face detected,1,"[(130, 308, 112, 112)]"
2025-09-09T22:56:09.962037,0,No face detected,0,[]
2025-09-09T22:56:28.807892,0,Single face detected,1,"[(131, 350, 80, 80)]"
2025-09-09T22:56:29.096582,0,No face detected,0,[]
2025-09-09T22:56:29.221392,0,Single face detected,1,"[(128, 342, 101, 101)]"
2025-09-09T22:56:29.274776,0,No face detected,0,[]
2025-09-09T22:56:29.549533,0,Single face detected,1,"[(128, 337, 108, 108)]"
2025-09-09T22:56:30.687881,0,No face detected,0,[]
2025-09-09T22:56:31.295048,0,Single face detected,1,"[(116, 321, 137, 137)]"
2025-09-09T22:56:33.164445,0,No face detected,0,[]
2025-09-09T22:56:33.233189,0,Single face detected,1,"[(116, 323, 134, 134)]"
2025-09-09T22:56:33.423520,0,No face detected,0,[]
2025-09-09T22:56:34.160620,0,Single face detected,1,"[(223, 158, 195, 195)]"
2025-09-09T22:56:34.225107,0,No face detected,0,[]
2025-09-09T22:56:34.431626,0,Single face detected,1,"[(215, 149, 196, 196)]"
2025-09-09T22:56:34.495686,0,No face detected,0,[]
2025-09-09T22:56:45.208512,0,Single face detected,1,"[(146, 131, 203, 203)]"
2025-09-09T22:56:45.421126,0,No face detected,0,[]
2025-09-09T22:56:45.496569,0,Single face detected,1,"[(152, 138, 189, 189)]"
2025-09-09T22:56:45.667210,0,No face detected,0,[]
2025-09-09T22:58:29.546830,0,No face detected,0,[]
2025-09-09T22:58:29.950490,0,Single face detected,1,"[(204, 251, 151, 151)]"
2025-09-09T22:58:30.128348,0,No face detected,0,[]
2025-09-09T22:58:30.199871,0,Single face detected,1,"[(204, 253, 148, 148)]"
2025-09-09T22:58:30.449152,0,No face detected,0,[]
2025-09-09T22:58:30.510849,0,Single face detected,1,"[(194, 225, 159, 159)]"
2025-09-09T22:58:31.079145,0,No face detected,0,[]
2025-09-09T22:58:31.120743,0,Single face detected,1,"[(204, 193, 165, 165)]"
2025-09-09T22:58:31.163259,0,No face detected,0,[]
2025-09-09T22:58:31.574614,0,Single face detected,1,"[(199, 189, 168, 168)]"
2025-09-09T22:58:31.955312,0,No face detected,0,[]
2025-09-09T22:58:32.815068,0,Single face detected,1,"[(222, 255, 147, 147)]"
2025-09-09T22:58:32.851454,0,No face detected,0,[]
2025-09-09T22:58:32.909105,0,Single face detected,1,"[(232, 227, 171, 171)]"
2025-09-09T22:58:33.121037,0,No face detected,0,[]
2025-09-09T22:58:33.723785,0,Single face detected,1,"[(219, 178, 212, 212)]"
2025-09-09T22:58:33.887795,0,No face detected,0,[]
2025-09-09T22:58:34.493463,0,Single face detected,1,"[(192, 190, 158, 158)]"
2025-09-09T22:58:35.534992,0,No face detected,0,[]
2025-09-09T22:58:35.568039,0,Single face detected,1,"[(204, 237, 157, 157)]"
2025-09-09T22:58:35.634291,0,No face detected,0,[]
2025-09-09T22:58:35.790767,0,Single face detected,1,"[(202, 240, 155, 155)]"
2025-09-09T22:58:35.824087,0,No face detected,0,[]
2025-09-09T22:58:35.872171,0,Single face detected,1,"[(204, 244, 156, 156)]"
2025-09-09T22:58:36.436527,0,No face detected,0,[]
2025-09-09T22:58:36.467864,0,Single face detected,1,"[(202, 228, 158, 158)]"
2025-09-09T22:58:36.498514,0,No face detected,0,[]
2025-09-09T22:58:36.532774,0,Single face detected,1,"[(202, 235, 160, 160)]"
2025-09-09T22:58:36.674746,0,No face detected,0,[]
2025-09-09T22:58:36.706889,0,Single face detected,1,"[(205, 227, 154, 154)]"
2025-09-09T22:58:36.768485,0,No face detected,0,[]
2025-09-09T22:58:36.805249,0,Single face detected,1,"[(199, 226, 165, 165)]"
2025-09-09T22:58:36.972296,0,No face detected,0,[]
2025-09-09T22:58:37.041478,0,Single face detected,1,"[(206, 233, 149, 149)]"
2025-09-09T22:58:37.105910,0,No face detected,0,[]
2025-09-09T22:58:37.168157,0,Single face detected,1,"[(195, 225, 176, 176)]"
2025-09-09T22:58:37.310924,0,No face detected,0,[]
2025-09-09T22:58:37.379705,0,Single face detected,1,"[(201, 227, 167, 167)]"
2025-09-09T22:58:38.108771,0,No face detected,0,[]
2025-09-09T22:58:38.144554,0,Single face detected,1,"[(201, 231, 168, 168)]"
2025-09-09T22:58:38.245600,0,No face detected,0,[]
2025-09-09T22:58:38.276741,0,Single face detected,1,"[(203, 233, 164, 164)]"
2025-09-09T22:58:38.354656,0,No face detected,0,[]
2025-09-09T22:58:38.384138,0,Single face detected,1,"[(202, 230, 168, 168)]"
2025-09-09T22:58:39.010174,0,No face detected,0,[]
2025-09-09T22:58:39.042476,0,Single face detected,1,"[(203, 232, 163, 163)]"
2025-09-09T22:58:39.157069,0,No face detected,0,[]
